MS_READY_SMILES
CCCCCCC(C)(C)C1=CC(O)=CC(OCCCCCCCCCCC(=O)NC2CC2)=C1
COC1=C(OCC2=CC=CC=C2)C=C2C(C)=CC3=CC(OC)=C(OC)C(OC)=C3C2=C1
CCCNCCNC1=C2C(=O)C3=CC=CC=C3C(=O)C2=C(NCCNCCC)C=C1
ClC1=CC(NC(=S)NC(=O)COC2=CC=CC=C2)=CC=C1N1CCOCC1
CC1=CC=C(C=C1)N1C(CNCC2=C(Cl)C=C(Cl)C=C2)=NC2=CC=CC=C2C1=O
CCCCCCCCCCCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
BrC1=CC=CC=C1CCNC(=O)C1=CC=CC=C1I
COC1=CC2=C(C=C1)C(=O)C(C)=C(CCCN1CCN(CC1)C1=CC=CC=C1OC)O2
CC1=CC=C(C=C1)C1=C(Br)C(Br)=C(O)C2=C1C=CC(C)=C2
CCCCCCCCCCCCCCCC(=O)NC1=CC=C(SC2=CC=C(C=C2)[N+]([O-])=O)C=C1
CC1=CC(NC2=NN3C(CC4=C(F)C=C(Cl)C=C4)=C(C)N=C3C(CN3CCOCC3)=C2)=NN1
NC1=CC=CC=C1NC(=O)C1=CC=C(CN2N=C(C3=CC=CC=C23)C2=CC=CC=C2)C=C1
CCCCCC1=CC2=C(C(O)=C1)C1=CC3=C(C(O)=C1C(O)C2)C(=O)C1=C(C=C(O)C=C1O)C3=O
[O-][N+](=O)C1=CC=C(C=C1)C(=O)OC1=CC=C(C=C1)C1=CC=C(C=C1)C(=O)C1=CC=C(C=C1)[N+]([O-])=O
BrC1=CC2=C(C=C1)C(Br)=C(OCC(=O)NC(=S)NC1CCCCC1)C=C2
CCCCCCCCCCCCCCCCCCC(C1=CC=C(C)C=C1)S(O)(=O)=O
C(OC1=CC=C(C=C1)C1(C2=C(C=CC=C2)C2=C1C=CC=C2)C1=CC=C(OCC2CO2)C=C1)C1CO1
